iter	Passed	Remaining
553	6434	5179
554	6443	5166
555	6454	5154
556	6463	5141
557	6473	5127
558	6484	5115
559	6497	5105
560	6508	5093
561	6517	5079
562	6527	5066
563	6537	5053
564	6548	5041
565	6558	5028
566	6568	5016
567	6578	5003
568	6590	4992
569	6604	4982
570	6617	4971
571	6629	4960
572	6639	4948
573	6651	4936
574	6662	4924
575	6672	4912
576	6683	4899
577	6695	4888
578	6706	4876
579	6716	4863
580	6727	4851
581	6737	4839
582	6747	4826
583	6760	4815
584	6771	4803
585	6782	4791
586	6795	4781
587	6807	4769
588	6818	4757
589	6828	4745
590	6838	4732
591	6848	4719
592	6859	4708
593	6871	4696
594	6883	4685
595	6894	4673
596	6905	4661
597	6914	4648
598	6924	4635
599	6935	4623
600	6946	4611
601	6957	4600
602	6970	4588
603	6981	4577
604	6993	4566
605	7004	4553
606	7016	4542
607	7029	4531
608	7039	4519
609	7049	4506
610	7060	4495
611	7072	4484
612	7082	4471
613	7092	4459
614	7105	4448
615	7115	4435
616	7125	4423
617	7137	4411
618	7148	4400
619	7160	4388
620	7171	4376
621	7183	4365
622	7195	4354
623	7205	4341
624	7215	4329
625	7226	4317
626	7236	4305
627	7248	4293
628	7259	4281
629	7269	4269
630	7281	4258
631	7292	4246
632	7302	4234
633	7312	4221
634	7323	4209
635	7334	4197
636	7344	4185
637	7356	4174
638	7368	4163
639	7379	4151
640	7389	4138
641	7399	4126
642	7411	4114
643	7421	4102
644	7431	4090
645	7442	4078
646	7453	4066
647	7465	4055
648	7476	4043
649	7487	4031
650	7499	4020
651	7510	4008
652	7521	3996
653	7530	3984
654	7540	3971
655	7552	3960
656	7563	3948
657	7575	3937
658	7586	3925
659	7597	3913
660	7611	3903
661	7620	3890
662	7631	3879
663	7641	3866
664	7651	3854
665	7661	3842
666	7676	3832
667	7686	3820
668	7697	3808
669	7708	3796
670	7718	3784
671	7729	3772
672	7739	3760
673	7751	3749
674	7762	3737
675	7775	3726
676	7786	3714
677	7798	3703
678	7811	3692
679	7822	3681
680	7833	3669
681	7845	3658
682	7855	3645
683	7866	3634
684	7877	3622
685	7888	3610
686	7899	3599
687	7910	3587
688	7921	3575
689	7933	3564
690	7942	3551
691	7952	3539
692	7963	3527
693	7973	3515
694	7984	3504
695	7994	3492
696	8006	3480
697	8017	3468
698	8028	3457
699	8039	3445
700	8049	3433
701	8062	3422
702	8071	3410
703	8083	3398
704	8094	3387
705	8106	3375
706	8118	3364
707	8129	3352
708	8139	3340
709	8150	3328
710	8160	3316
711	8171	3305
712	8181	3293
713	8194	3282
714	8204	3270
715	8214	3258
716	8224	3246
717	8233	3233
718	8242	3221
719	8253	3209
720	8264	3198
721	8275	3186
722	8285	3174
723	8296	3162
724	8309	3151
725	8318	3139
726	8329	3127
727	8340	3116
728	8350	3104
729	8361	3092
730	8372	3081
731	8382	3068
732	8391	3056
733	8403	3045
734	8414	3033
735	8425	3022
736	8436	3010
737	8447	2998
738	8457	2986
739	8468	2975
740	8478	2963
741	8488	2951
742	8497	2939
743	8508	2927
744	8518	2915
745	8529	2904
746	8541	2892
747	8553	2881
748	8565	2870
749	8578	2859
750	8590	2848
751	8602	2836
752	8615	2825
753	8625	2814
754	8637	2802
755	8647	2791
756	8658	2779
757	8670	2768
758	8681	2756
759	8691	2744
760	8700	2732
761	8713	2721
762	8725	2710
763	8734	2698
764	8745	2686
765	8756	2675
766	8768	2663
767	8777	2651
768	8787	2639
769	8798	2628
770	8811	2617
771	8821	2605
772	8832	2593
773	8841	2581
774	8854	2570
775	8867	2559
776	8878	2548
777	8891	2537
778	8900	2525
779	8912	2513
780	8925	2502
781	8935	2491
782	8947	2479
783	8957	2467
784	8968	2456
785	8979	2444
786	8989	2432
787	9000	2421
788	9011	2409
789	9021	2398
790	9032	2386
791	9041	2374
792	9050	2362
793	9063	2351
794	9073	2339
795	9084	2328
796	9095	2316
797	9106	2305
798	9117	2293
799	9128	2282
800	9139	2270
801	9152	2259
802	9162	2247
803	9172	2236
804	9184	2224
805	9194	2213
806	9208	2202
807	9220	2191
808	9230	2179
809	9242	2167
810	9250	2155
811	9260	2144
812	9272	2132
813	9283	2121
814	9292	2109
815	9304	2097
816	9315	2086
817	9328	2075
818	9339	2063
819	9351	2052
820	9363	2041
821	9373	2029
822	9385	2018
823	9394	2006
824	9442	2002
825	9464	1993
826	9486	1984
827	9509	1975
828	9525	1964
829	9539	1953
830	9553	1942
831	9567	1931
832	9587	1922
833	9604	1911
834	9620	1900
835	9637	1890
836	9648	1879
837	9661	1867
838	9676	1856
839	9691	1845
840	9703	1834
841	9717	1823
842	9733	1812
843	9747	1801
844	9758	1789
845	9771	1778
846	9783	1767
847	9793	1755
848	9804	1743
849	9816	1732
850	9827	1720
851	9838	1708
852	9848	1697
853	9859	1685
854	9870	1673
855	9882	1662
856	9893	1650
857	9904	1639
858	9917	1627
859	9928	1616
860	9941	1604
861	9952	1593
862	9963	1581
863	9976	1570
864	9988	1558
865	10000	1547
866	10012	1535
867	10023	1524
868	10035	1512
869	10046	1501
870	10056	1489
871	10067	1477
872	10079	1466
873	10091	1454
874	10101	1443
875	10112	1431
876	10123	1419
877	10134	1408
878	10145	1396
